author,fname,lname,gender,pubtitle,date,id
"Pahwa, Anil",Anil, Pahwa,male,"2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",2007,806
"Woolley, Anita",Anita, Woolley,female,Interdisciplinary Science Reviews,2011,1237
"Bloor, Ann",Ann,Bloor,female,"2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",2007,810
"Austin, Ann",Ann, Austin,female,Change,2015,1192
"Kim, Ann",Ann,Kim,female,Review of Educational Research,2018,1516
"Beutel, Ann",Ann,Beutel,female,Gender Issues,2018,1622
"Burnett, Ann",Ann,Burnett,female,Journal of Women and Minorities in Science and Engineering,2012,385
"May, Ann Mari.",Ann Mari.,May,NA,Review of Regional Studies,2017,1873
"Krieg, Anna",Anna, Krieg,female,PLoS ONE,2018,1165
"Young, Anna",Anna,Young,female,International Journal of Science Education,2018,1243
"Woodcock, Anna",Anna, Woodcock,female,Journal of educational psychology,2013,145
"Conti, Annamaria",Annamaria,Conti,female,PLoS ONE,2015,1155
"McDaniel, Anne",Anne,McDaniel,female,European Sociological Review,2016,1077
"Rinn, Anne",Anne, Rinn,female,Journal of Women and Minorities in Science and Engineering,2017,391
"Kato, Anne",Anne, Kato,female,Industrial and Organizational Psychology,2018,444
"Lincoln, Anne",Anne,Lincoln,female,Social Forces,2010,1091
"Mills, Anne",Anne, Mills,female,Journal of Medical Internet Research,2018,847
"Preston, Anne",Anne, Preston,female,Journal of Economic Behavior & Organization,2012,574
"Metz, Anneke",Anneke, Metz,female,Cultural diversity & ethnic minority psychology,2014,83
"Martin, Annette",Annette, Martin,female,PLoS ONE,2018,1173
"Hu, Anning",Anning,Hu,NA,Research in Social Stratification and Mobility,2015,659
"Smeding, Annique",Annique,Smeding,NA,Sex Roles,2012,1821
"Carpi, Anthony",Anthony,Carpi,male,Journal of Research in Science Teaching,2017,883
"Yamanaka, Aoi",Aoi, Yamanaka,female,Community College Journal of Research & Practice,2016,1204
"Hodari, Apriel",Apriel, Hodari,NA,Journal of Diversity in Higher Education,2015,118
"Martinez Ortiz, Araceli",Araceli,Martinez Ortiz,female,American Journal of Engineering Education,2015,482
"Ortiz, Araceli",Araceli, Ortiz,female,International Journal of STEM Education,2017,1647
"Young, Ariana",Ariana, Young,female,Journal of Applied Social Psychology,2016,1926
"Vasquez, Ariana",Ariana, Vasquez,female,Science Education,2018,906
"Young, Ariana",Ariana, Young,female,Personality and Social Psychology Bulletin,2011,1429
"Bejerano, Arleen",Arleen,Bejerano,female,Journal of Women and Minorities in Science and Engineering,2015,397
"Senas, Arleen",Arleen, Senas,female,Community College Journal of Research & Practice,2012,1208
"Khan, Arshia",Arshia,Khan,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,254
"Wagner, Ashley",Ashley, Wagner,female,Journal of Research in Science Teaching,2016,888
"Carroll, Ashley",Ashley, Carroll,female,Career Development Quarterly,2014,1898
"Higgins, Ashley",Ashley, Higgins,female,Psychology of Women Quarterly,2013,1501
"D'Inverno, Ashley",Ashley,D'Inverno,female,Journal of Womens Health,2016,1019
"Agloro, Ashley C.",Ashley C., Agloro,NA,PLoS ONE,2018,1166
"Morse, Audra",Audra, Morse,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,287
"Jaeger, Audrey",Audrey,Jaeger,female,Review of Higher Education,2017,1858
"June, Audrey",Audrey,June,female,Chronicle of Higher Education,2016,480
"Kollasch, Aurelia",Aurelia, Kollasch,female,Community College Journal of Research & Practice,2017,1212
"Stroude, Aurianne",Aurianne,Stroude,NA,International Journal of Mentoring and Coaching in Education,2015,696
"Pickup, Austin",Austin, Pickup,male,Educational Studies,2017,1228
"Ahmed, Awad",Awad, Ahmed,male,Advances in Radiation Oncology,2018,508
"Scheim, Ayden",Ayden, Scheim,male,BMC Public Health,2015,439
"Khan, Ayesha",Ayesha, Khan,female,Journal of Medical Internet Research,2018,846
"Borden, B. Ann",B. Ann, Borden,NA,Gender Issues,2018,1624
"Flammang, B.J.",B.J., Flammang,NA,Group Processes and Intergroup Relations,2018,1365
"Casad, B.J.",B.J.,Casad,NA,Group Processes and Intergroup Relations,2018,1357
"Fosdick, Bailey",Bailey, Fosdick,female,PLoS ONE,2016,1181
"Natarajan, Balasubramaniam",Balasubramaniam, Natarajan,NA,"2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports",2007,805
"King, Barbara",Barbara, King,female,American Educational Research Journal,2012,1318
"Schneider, Barbara",Barbara, Schneider,female,Frontiers in Psychology,2017,744
"King, Barbara",Barbara, King,female,Educational Researcher,2010,1335
"Schneider, Barbara",Barbara, Schneider,female,Developmental psychology,2012,88
"Kerr, Barbara",Barbara,Kerr,female,Journal of Psychoeducational Assessment,2012,1413
"Means, Barbara",Barbara,Means,female,Journal of Research in Science Teaching,2016,892
"Grosz, Barbara",Barbara, Grosz,female,Cell Stem Cell,2015,462
"King, Barbara",Barbara, King,female,Sex Roles,2016,1762
"Salmon, Barrington",Barrington,Salmon,male,Chronicle of Higher Education,2016,481
"Bozeman, Barry",Barry, Bozeman,male,Research in Higher Education,2016,1723
"Bozeman, Barry",Barry, Bozeman,male,Higher Education,2015,1629
"Francis, Becky",Becky,Francis,female,Sex Roles,2017,1789
"Packard, Becky",Becky,Packard,female,Community College Journal of Research & Practice,2012,1206
"Francis, Becky",Becky, Francis,female,American Educational Research Journal,2017,1314
"Packard, Becky",Becky,Packard,female,Journal of Women and Minorities in Science and Engineering,2011,428
"Packard, Becky",Becky,Packard,female,Journal of Women and Minorities in Science and Engineering,2011,433
"Yang, Beender",Beender, Yang,NA,Research and Practice in Technology Enhanced Learning,2017,1960
"Aeschlimann, Belinda",Belinda, Aeschlimann,female,Empirical Research in Vocational Education and Training,2016,1618
"Drury, Benjamin",Benjamin, Drury,male,Psychology of Women Quarterly,2013,1482
"Drury, Benjamin",Benjamin,Drury,male,Psychological Inquiry,2011,1114
"Nagengast, Benjamin",Benjamin, Nagengast,male,Journal of educational psychology,2017,142
"Drury, Benjamin",Benjamin, Drury,male,Social Psychological and Personality Science,2011,1538
"Wiggins, Benjamin",Benjamin, Wiggins,male,PLoS ONE,2016,1139
"Park, Bernadette",Bernadette, Park,female,Social Sciences,2018,1008
"Park, Bernadette",Bernadette, Park,female,Journal of personality and social psychology,2017,175
"Park, Bernadette",Bernadette, Park,female,Sex Roles,2016,1753
"Park, Bernadette",Bernadette, Park,female,Personality and Social Psychology Bulletin,2018,1439
"Park, Bernadette",Bernadette, Park,female,Educational Psychology,2018,1226
"Ertl, Bernhard",Bernhard,Ertl,NA,Frontiers in Psychology,2017,767
"Purcell, Bernice",Bernice,Purcell,female,Journal of Case Studies in Accreditation and Assessment,2014,3
"Cunningham, Beth",Beth, Cunningham,female,AIP Conference Proceedings,2015,2
"Schachter, Beth",Beth, Schachter,female,Cell Stem Cell,2015,473
"Myers, Betsy",Betsy, Myers,female,Cell Stem Cell,2015,468
"Casad, Bettina",Bettina,Casad,female,Sex Roles,2018,1748
"Watford, Bevlee",Bevlee, Watford,NA,Journal of vocational behavior,2015,626
"Bernstein, Bianca",Bianca, Bernstein,female,New Directions for Higher Education,2015,936
"Bernstein, Bianca",Bianca, Bernstein,female,Social Sciences,2018,979
"Bernstein, Bianca",Bianca, Bernstein,female,Journal of Career Assessment,2015,1381
"Karacora, Bilge",Bilge, Karacora,NA,Computers & Education,2016,516
"Rincón, Blanca",Blanca,Rincón,female,Journal of College Student Development,2016,1856
"London, Bonita",Bonita, London,female,Journal of Applied Social Psychology,2016,1932
"London, Bonita",Bonita, London,female,CBE Life Sciences Education,2016,187
